,model_number,model_success,ctg
0,100,0.0,9.637360060877231
1,200,0.0,9.872147213497554
2,300,0.0,9.6752423172309
3,400,0.0,9.923366651898954
4,500,0.0,9.548832190622132
5,600,0.0,9.027435496581303
6,700,0.0,9.265362931925209
7,800,1.0,8.69691130843147
8,900,0.0,9.126535430875872
9,1000,0.0,9.040529132319346
10,1100,1.0,9.209368859879248
11,1200,0.0,9.054095263284282
12,1300,3.0,8.88458635785659
13,1400,0.0,8.851746716090924
14,1500,0.0,9.005471592530142
15,1600,4.0,8.188309679500621
16,1700,1.0,9.249664412210459
17,1800,2.0,9.427749315951809
18,1900,57.4,8.777898866769057
19,2000,0.0,8.833450833792972
20,2100,35.6,9.466206075288797
21,2200,1.0,8.34675657559717
22,2300,4.0,9.01204714246303
23,2400,14.9,8.767855085324193
24,2500,20.8,8.729015419322963
25,2600,11.9,8.908431707635813
26,2700,39.6,9.019748099455287
27,2800,18.8,8.970010315049306
28,2900,0.0,8.394300415021595
29,3000,46.5,9.536081389518744
30,3100,1.0,9.361330143868212
31,3200,3.0,8.810623059959433
32,3300,49.5,8.526402979399977
33,3400,30.7,9.076212320649901
34,3500,22.8,8.856046430940097
35,3600,56.4,9.130797373578147
36,3700,46.5,8.834754320972545
37,3800,44.6,9.44534574439344
38,3900,39.6,9.434821584815936
39,4000,46.5,8.84912773148528
40,4100,51.5,9.60050325302864
41,4200,4.0,9.146346995744313
42,4300,7.9,8.935057015678213
43,4400,45.5,8.99173429593009
44,4500,57.4,9.220245262273831
45,4600,1.0,9.602265751495107
46,4700,20.8,8.919403849735986
47,4800,48.5,9.214889635937011
48,4900,36.6,9.101070061985697
49,5000,40.6,9.33581464593712
50,5100,20.8,9.695219985840989
51,5200,31.7,9.460998852282438
52,5300,28.7,9.727853895053824
53,5400,29.7,9.01835500840051
