,model_number,model_success,ctg
0,100,0.0,9.863198775458196
1,200,0.0,9.397259574948665
2,300,0.0,9.663565678392303
3,400,0.0,9.66162955818566
4,500,0.0,9.623247774053949
5,600,0.0,8.795352626759223
6,700,0.0,8.956788263667168
7,800,0.0,8.978068443502451
8,900,0.0,9.337954159878906
9,1000,0.0,8.401705124716043
10,1100,0.0,8.929607332931464
11,1200,2.0,8.881505448953819
12,1300,0.0,8.978147047640627
13,1400,32.7,9.12255862608482
14,1500,27.7,8.71578241019449
15,1600,30.7,9.153263261771537
16,1700,34.7,8.984759945488197
17,1800,83.2,8.773019324319558
18,1900,55.4,9.26911832473906
19,2000,83.2,8.770449727216151
20,2100,16.8,8.223402008775306
21,2200,9.9,9.070314028342791
22,2300,1.0,9.404938266922628
23,2400,1.0,9.3965933351747
24,2500,1.0,9.207770678363959
25,2600,1.0,8.587566312675111
26,2700,5.0,8.45300716268328
27,2800,0.0,8.973677341412381
28,2900,0.0,9.066921574644788
29,3000,0.0,9.172807277407067
30,3100,61.4,8.973185263982632
31,3200,0.0,9.127621835412544
32,3300,0.0,9.072134794715076
33,3400,2.0,9.476824563331466
34,3500,0.0,8.667079377440867
35,3600,6.9,9.076647860279234
36,3700,40.6,9.145027346740008
37,3800,1.0,9.1987141954025
38,3900,3.0,8.412294152542092
39,4000,26.7,8.969855914425365
40,4100,42.6,9.444072138742584
41,4200,43.6,9.295237840628657
42,4300,1.0,9.215012157180208
43,4400,1.0,9.769229242541249
44,4500,15.8,9.268115176975023
45,4600,14.9,9.419819201694207
46,4700,38.6,8.790028863563577
47,4800,4.0,8.761647931917173
48,4900,5.9,9.34654383419518
49,5000,5.0,9.171544841020195
50,5100,17.8,9.881581474400756
51,5200,5.0,9.625627751681726
52,5300,0.0,8.887117075674414
53,5400,32.7,9.352902154221189
54,5500,9.9,9.384286236794381
55,5600,7.9,9.320778065305685
56,5700,0.0,9.382914919253494
57,5800,13.9,8.986685058918123
58,5900,2.0,9.66072847884522
59,6000,4.0,9.624039482599532
60,6100,6.9,9.83820664872713
61,6200,12.9,9.870483364050708
62,6300,0.0,9.306816398141047
63,6400,5.9,10.211990948013671
64,6500,2.0,9.4991405230398
65,6600,37.6,9.853381127131536
66,6700,14.9,9.60778664201627
67,6800,22.8,9.24535634492929
68,6900,4.0,9.399979243580034
69,7000,0.0,9.620381526923184
70,7100,3.0,9.78138328715275
71,7200,2.0,10.262724173813913
72,7300,2.0,10.028264816212474
73,7400,1.0,10.115128482239948
74,7500,3.0,9.904746512111727
75,7600,1.0,10.329629650007044
76,7700,0.0,9.79342694108666
77,7800,3.0,9.4912859396683
78,7900,1.0,9.63300681951976
79,8000,7.9,9.090782514972329
80,8100,1.0,9.23237394305495
81,8200,0.0,9.708025777142659
82,8300,0.0,8.86176608833195
83,8400,0.0,9.47103532456651
84,8500,0.0,9.986557062419811
85,8600,5.9,9.007349092591443
86,8700,0.0,9.841936077064668
87,8800,0.0,9.901940734559997
88,8900,0.0,8.885940473476673
89,9000,7.9,9.575182500055654
90,9100,2.0,9.77310189379936
91,9200,2.0,9.648170272995932
92,9300,7.9,9.289888195034553
93,9400,10.9,9.375712021677682
94,9500,0.0,9.098513496949382
95,9600,3.0,10.158167616238392
96,9700,0.0,9.426900783689405
97,9800,7.9,9.713313488367527
98,9900,0.0,9.370902600286065
99,10000,8.9,9.071374221846435
