,model_number,model_success,ctg
0,300,0.0,9.39247493932592
1,400,0.0,9.373348111415611
2,500,0.0,9.059362276586334
3,600,0.0,9.439679282581306
4,700,0.0,9.300060043118183
5,800,0.0,9.09242769961468
6,900,0.0,9.132137781190805
7,1000,0.0,8.934374529966657
8,1100,0.0,8.559076143344882
9,1200,0.0,9.3543164461704
10,1300,5.0,8.541973697512136
11,1400,4.0,8.393417885684663
12,1500,14.9,8.818867195140268
13,1600,0.0,8.98518654808858
14,1700,7.9,8.944053427993378
15,1800,0.0,9.29915242177447
16,1900,0.0,8.88347996478049
17,2000,0.0,9.23382467203766
18,2100,2.0,8.860340077966084
19,2200,17.8,8.54911913776144
20,2200,21.8,8.439190685244956
21,2300,4.0,9.27253693435923
22,2400,17.8,8.748791124395225
23,2500,4.0,8.771852485846486
24,2600,4.0,8.854905955108018
25,2700,1.0,9.178238992002537
26,2800,0.0,8.865772117962473
27,2900,5.9,9.147954962937952
28,3000,0.0,9.689175886977427
29,3100,1.0,9.469397128326142
30,3200,4.0,8.731176904663178
31,3300,0.0,9.776481335140627
32,3400,5.0,8.635316524708252
33,3500,1.0,9.293556683097194
34,3600,1.0,8.891389426869749
35,3700,0.0,9.056575321376876
36,3800,0.0,8.9140318948221
37,3900,0.0,8.624216821037265
38,4000,0.0,9.061524835199858
39,4100,0.0,9.322028451605297
