,model_number,model_success,ctg
0,100,0.0,10.41238786135596
1,200,0.0,9.63878870211564
2,300,0.0,9.272654370035507
3,400,0.0,9.261802673420064
4,500,0.0,9.099151764406523
5,600,0.0,9.481923113428014
6,700,0.0,9.264804549057116
7,800,0.0,9.041200893699651
8,900,0.0,9.294790506405688
9,1000,1.0,8.864507201266543
10,1100,3.0,9.36424002809316
11,1200,0.0,8.84335972215162
12,1300,1.0,8.660539192508748
13,1400,0.0,8.556474088712198
14,1500,0.0,9.097499026180092
15,1600,2.0,9.669515639484844
16,1700,8.9,8.709193429914297
17,1800,1.0,8.798936673651335
18,1900,8.9,8.701134738711762
19,2000,0.0,8.789835350558944
20,2100,40.6,8.326884296561662
21,2200,44.6,8.755626087494532
22,2300,0.0,9.35243710123302
23,2400,0.0,9.250760992232012
24,2500,0.0,8.594872279670245
25,2600,0.0,8.641366609522
26,2700,0.0,9.30782694122058
27,2800,0.0,8.71149390458999
28,2900,11.9,8.91589421496092
29,3000,7.9,8.429407930797275
30,3100,0.0,8.81639797580146
31,3200,5.9,9.462226615870087
32,3300,0.0,8.926936826069795
33,3400,0.0,8.674450579208273
34,3500,0.0,8.857307166635877
35,3600,7.9,8.86851460362744
36,3700,0.0,9.07347799272085
37,3800,0.0,9.620208869473414
38,3900,1.0,9.167003993266682
39,4000,2.0,9.313692112144183
40,4100,1.0,9.320267759255366
41,4200,5.0,9.444986878036415
42,4300,18.8,8.896287497472985
43,4400,35.6,9.275223695753818
44,4500,34.7,9.101090811390394
45,4600,0.0,9.452130536560144
46,4700,0.0,9.378351830864506
47,4800,0.0,9.108142264649935
48,4900,0.0,8.644676027887868
49,5000,0.0,8.48280699948418
50,5100,2.0,9.131578996568653
51,5200,0.0,10.06487310697273
52,5300,0.0,8.914963375210473
53,5400,12.9,9.515275008394255
54,5500,0.0,9.295022309836012
55,5600,3.0,8.87994018306304
56,5700,3.0,8.992012344105957
57,5800,0.0,9.225216339331782
58,5900,0.0,8.89152979031229
59,6000,0.0,9.005407549153887
60,6100,1.0,8.80458467126481
61,6200,0.0,9.439502832134169
62,6300,0.0,9.331985065951056
63,6400,0.0,9.464329958375583
64,6500,15.8,9.490809603229648
65,6600,4.0,9.318568904020612
66,6700,0.0,9.192169008486239
67,6800,0.0,9.421244944370839
68,6900,31.7,9.284022688336343
69,7000,4.0,9.510663315634046
70,7100,0.0,9.296359625831453
71,7200,1.0,9.575684441640508
72,7300,0.0,9.69963736431966
73,7400,2.0,8.938268696332223
74,7500,0.0,9.668429370894327
75,7600,2.0,8.894059131011224
76,7700,0.0,9.113794973395073
77,7800,5.0,9.499242737768082
78,7900,1.0,9.547058427626308
79,8000,0.0,9.2464607357591
80,8100,0.0,9.794008068831113
81,8200,0.0,9.456085173377582
82,8300,0.0,9.282398251914781
83,8400,0.0,9.590358122972976
84,8500,0.0,9.480355884557683
85,8600,0.0,9.957675014612533
86,8700,1.0,9.598901294257494
87,8800,0.0,9.22783841452555
88,8900,5.9,9.310789324368951
89,9000,3.0,9.127378350376848
90,9100,0.0,9.490906314036623
91,9200,1.0,9.685422282349732
92,9300,0.0,9.437962698590509
93,9400,2.0,9.44879862122502
94,9500,1.0,9.718297982589604
95,9600,0.0,9.242586568024663
96,9700,0.0,10.038042389237516
97,9800,0.0,9.715011338051749
98,9900,0.0,9.601714885716763
99,10000,0.0,9.674176012270943
